PRECIOS ENERO 2026 ,,,,,
,CIBIC,GORNITZ,FPM,MANLAB,LERDA 
MICROGLOBULINA BETA 2 ," $6.410,00"," $5.096,93"," $7.941,45",$2597.89,
MONITOREO DE FARMACOS ,-,-,-,-,
NORADRENALINA EN SANGRE," $16.310,00"," $50.500,00"," $8.285,16",-,
NORADRENALINA EN ORINA ," $16.310,00"," $50.500,00"," $8.285,16",-,
PANEL HEPATICO (SP100- LKM 1 - GP 210 - LC 1 - SLA)," $61.967,00"," $79.027,70",-," $76.363,45",
PANEL MIELOIDE ," $1.259.832,00",-,-,-,
PARATHORMONA ," $3.810,00"," $2.965,69"," $4.633,50","$1755,06",
PCR (PROTEINA C REACTIVA)," $1.535,00"," $806,39"," $1.813,49",$800.18,
PRO BNP," $40.380,00"," $47.416,49"," $38.441,51",$35231.13,
PROTEINA C FUNCIONAL," $21.804,00"," $18.958,21"," $20.878,76",-,
PROTEINA S LIBRE ," $38.959,00"," $47.416,49"," $20.878,76",$15727.12,
RECEPTOR SOLUBLE DE TRANSFERRINA ,-," $21.412,94",-,$33020.61,
RELACION ALDOSTERONA - RENINA ,-," $58.459,59",-,$26585.33,
RENINA ," $19.441,00"," $58.459,59"," $12.088,12",$10626.57,
SEROTONINA EN SANGRE ," $12.742,00"," $25.250,00"," $12.397,33",$20224.76,
SEROTONINA EN ORINA ," $12.742,00"," $25.250,00"," $12.607,94",$25387.70,
SINDROME LINFOPROLI,-,-,-,-,
SINDROME MIELOPROLI,-,-,-,-,
SOMATOMEDINA C IGFB1 ," $11.483,00"," $16.332,42"," $18.640,18",$6112.64,
SOMATOTROFINA ," $3.696,00"," $4.138,58"," $9.394,27",$3628.97,
TESTOSTERONA BIODISPONIBLE ," $7.207,00"," $7.139,44"," $10.772,46",$2980.82,
TESTOSTERONA TOTAL," $2.164,00"," $2.189,35"," $3.521,17",$851.01,
RECEPTOR DE TSH - TRABS ," $14.231,00"," $17.811,78"," $18.880,05",$9814.30,
TRASLOCACION CUANTI (190 - 210),-,"205308,56 (C/U)",-,-,
TRASLOCACION CUALI (190-210),-,"84259,94 (C/U)"," $146.218,80",-,
VITAMINA B12," $3.869,00"," $3.064,88"," $5.180,00",$1619.82,
VITAMINA D ," $5.685,00"," $7.634,00"," $43.751,01",$5833.81,
PAPP - A," $14.637,00",-," $34.186,28"," $6.708,75",
BETA LIBRE HCG," $2.422,00"," $2.082,43"," $33.184,59"," $4.470,90",
PEPTIDO CIRTULINADO ," $17.191,00"," $11.180,17"," $18.418,17"," $14.907,95",
ALFA GALACTOSIDASA ,-,-,-," $348.731,99",
PANEL GANGLISIDOSIS ," $584.616,00"," $637.322,72"," $50.636,26"," $112.804,26",
NEUMOCOCO AC. ,-," $117.825,21"," $43.289,80"," $92.193,68",
FACTOR INTRINSECO AC. ANTI ," $16.788,00"," $28.086,17"," $29.412,37"," $15.513,15",
"MUCOSA GASTRICA, AC. ANTI "," $8.049,00"," $3.966,10",-," $5.333,27",
CROMOSOMA - IGVH ," $764.052,00"," $645.773,31"," $753.632,03"," $699.978,91",
CALPROTECTINA ," $37.599,00"," $48.470,34"," $38.689,50"," $30.542,33",
TIROGLOBULINA ," $5.502,00"," $5.982,34"," $7.007,28"," $3.280,51",
MICOLOGICO UÑAS ,-,-,-,-,
PROTROMBINA 210," $34.063,00"," $38.187,29",-," $25.904,22",
SCLERODERMIA - SCL 70," $12.777,00"," $4.684,28"," $10.842,37"," $4.298,27",
CA 15.3," $4.791,00"," $3.575,57"," $7.776,57"," $1.671,54",
CADENAS PESADAS EN SANGRE,-,-,-," $20.947,00",
CADENAS PESADAS EN ORINA,-,-,-," $20.947,00",
ACIDO URICO URINARIO ,-,-,-,-,
